iter	Passed	Remaining
0	53	53353
1	54	27025
2	54	18215
3	55	13793
4	55	11143
5	56	9373
6	57	8110
7	57	7167
8	58	6436
9	59	5856
10	59	5372
11	60	4965
12	60	4621
13	61	4340
14	62	4081
15	62	3858
16	63	3668
17	63	3490
18	64	3329
19	65	3185
20	65	3054
21	66	2934
22	66	2825
23	66	2724
24	67	2633
25	68	2549
26	68	2475
27	69	2408
28	69	2342
29	70	2282
30	71	2227
31	71	2171
32	72	2119
33	72	2069
34	73	2026
35	74	1993
36	75	1956
37	75	1918
38	76	1880
39	76	1845
40	77	1813
41	78	1782
42	78	1753
43	79	1723
44	79	1696
45	80	1671
46	81	1646
47	81	1620
48	82	1596
49	82	1572
50	83	1550
51	83	1528
52	84	1506
53	84	1486
54	85	1467
55	85	1448
56	86	1430
57	86	1412
58	87	1395
59	87	1378
60	88	1362
61	88	1346
62	89	1331
63	89	1315
64	90	1302
65	91	1289
66	91	1276
67	92	1264
68	92	1252
69	93	1239
70	93	1227
71	94	1216
72	94	1204
73	95	1192
74	95	1181
75	96	1171
76	97	1163
77	97	1154
78	98	1146
79	98	1138
80	99	1129
81	100	1121
82	100	1110
83	101	1101
84	101	1094
85	102	1087
86	102	1080
87	103	1073
88	104	1065
89	104	1058
90	105	1051
91	105	1044
92	106	1038
93	107	1032
94	108	1028
95	108	1023
96	109	1017
97	109	1012
98	110	1006
99	111	1000
100	111	995
101	112	990
102	113	984
103	113	979
104	114	975
105	114	969
106	115	963
107	115	958
108	116	952
109	117	947
110	117	941
111	118	936
112	118	931
113	119	926
114	119	921
115	120	917
116	120	911
117	121	907
118	121	902
119	122	898
120	123	894
121	123	889
122	124	885
123	124	881
124	125	878
125	126	874
126	126	871
127	127	867
128	127	863
129	128	860
130	129	856
131	129	852
132	130	849
133	130	845
134	131	843
135	132	840
136	132	836
137	133	833
138	133	829
139	134	825
140	134	822
141	135	817
142	135	813
143	136	810
144	136	807
145	137	804
146	138	801
147	138	798
148	139	795
149	139	792
150	140	790
151	141	787
152	141	784
153	142	781
154	142	779
155	143	777
156	144	774
157	144	771
158	145	768
159	145	766
160	146	762
161	147	760
162	147	758
163	148	755
164	148	753
165	149	750
166	150	748
167	150	746
168	151	743
169	151	741
170	152	738
171	152	736
172	153	733
173	154	731
174	154	729
175	155	727
176	155	725
177	156	722
178	157	720
179	157	718
180	158	716
181	158	714
182	159	712
183	160	710
184	160	708
185	161	706
186	162	704
187	162	702
188	163	700
189	163	697
190	164	695
191	164	693
192	165	692
193	166	691
194	167	689
195	167	688
196	168	686
197	168	684
198	169	682
199	169	679
200	170	677
201	171	675
202	171	674
203	172	672
204	172	670
205	173	668
206	174	667
207	174	665
208	175	663
209	175	661
210	176	659
211	176	657
212	177	655
213	177	653
214	178	652
215	179	650
216	179	648
217	180	646
218	180	644
219	181	642
220	181	641
221	182	639
222	183	638
223	183	636
224	184	635
225	184	633
226	185	632
227	186	630
228	186	628
229	187	627
230	187	625
231	188	623
232	189	622
233	189	620
234	190	619
235	190	617
236	191	616
237	191	614
238	192	612
239	192	610
240	193	609
241	194	607
242	194	606
243	195	605
244	195	603
245	196	602
246	197	600
247	197	599
248	198	597
249	198	595
250	199	594
251	199	592
252	200	591
253	200	590
254	201	588
255	201	586
256	202	586
257	203	584
258	203	583
259	204	581
260	205	580
261	205	578
262	206	577
263	206	576
264	207	574
265	207	573
266	208	572
267	208	570
268	209	569
269	210	567
270	210	566
271	211	565
272	211	563
273	212	562
274	213	561
275	213	560
276	214	558
277	214	557
278	215	556
279	215	555
280	216	553
281	216	552
282	217	551
283	218	550
284	218	548
285	219	547
286	219	546
287	220	544
288	221	543
289	221	542
290	222	541
291	222	540
292	223	539
293	224	538
294	224	537
295	225	536
296	226	535
297	226	534
298	227	533
299	228	532
300	228	531
301	229	530
302	230	529
303	230	528
304	231	527
305	232	526
306	232	525
307	233	524
308	233	522
309	234	521
310	235	520
311	235	519
312	236	518
313	237	517
314	237	516
315	238	515
316	238	514
317	239	513
318	239	512
319	240	511
320	241	510
321	241	509
322	242	508
323	243	507
324	243	505
325	244	504
326	244	503
327	245	502
328	245	501
329	246	500
330	247	499
331	247	498
332	248	497
333	249	496
334	249	495
335	250	494
336	250	493
337	251	492
338	251	491
339	252	490
340	253	489
341	253	488
342	254	487
343	255	486
344	255	485
345	256	484
346	256	483
347	257	482
348	257	481
349	258	480
350	259	479
351	259	478
352	260	477
353	260	476
354	261	475
355	262	474
356	262	472
357	263	471
358	263	470
359	264	469
360	264	469
361	265	468
362	266	466
363	266	465
364	267	465
365	267	464
366	268	463
367	269	462
368	270	461
369	270	460
370	271	460
371	272	459
372	272	458
373	273	457
374	274	456
375	274	455
376	275	454
377	275	453
378	276	453
379	277	452
380	277	451
381	278	450
382	278	449
383	279	448
384	279	447
385	280	446
386	281	445
387	281	444
388	282	443
389	282	442
390	283	441
391	283	440
392	284	439
393	285	438
394	285	437
395	286	436
396	286	435
397	287	434
398	287	433
399	288	432
400	288	431
401	289	430
402	290	429
403	290	428
404	291	427
405	291	426
406	292	425
407	292	424
408	293	424
409	294	423
410	294	422
411	295	421
412	295	420
413	296	419
414	297	418
415	297	417
416	298	416
417	298	415
418	299	415
419	300	414
420	300	413
421	301	412
422	301	411
423	302	410
424	302	409
425	303	408
426	303	407
427	304	406
428	304	405
429	305	404
430	306	404
431	306	403
432	307	402
433	308	401
434	308	400
435	309	399
436	309	399
437	310	398
438	310	397
439	311	396
440	312	395
441	312	394
442	313	394
443	314	393
444	314	392
445	315	391
446	315	390
447	316	389
448	316	388
449	317	388
450	318	387
451	318	386
452	319	385
453	319	384
454	320	383
455	321	383
456	321	382
457	322	381
458	323	380
459	323	379
460	324	379
461	324	378
462	325	377
463	326	376
464	326	375
465	327	375
466	327	374
467	328	373
468	329	372
469	329	371
470	330	370
471	330	369
472	331	368
473	331	368
474	332	367
475	332	366
476	333	365
477	333	364
478	334	363
479	335	362
480	335	362
481	336	361
482	336	360
483	337	359
484	337	358
485	338	357
486	338	357
487	339	356
488	340	355
489	340	354
490	341	354
491	342	353
492	342	352
493	343	351
494	344	351
495	346	352
496	347	351
497	347	350
498	348	349
499	349	349
500	349	348
501	350	347
502	350	346
503	351	345
504	351	344
505	352	343
506	352	343
507	353	342
508	353	341
509	354	340
510	355	339
511	355	338
512	356	338
513	356	337
514	357	336
515	357	335
516	358	334
517	359	334
518	359	333
519	360	332
520	360	331
521	361	330
522	361	329
523	362	329
524	362	328
525	363	327
526	364	326
527	365	326
528	365	325
529	366	324
530	366	324
531	367	323
532	368	322
533	368	321
534	369	320
535	369	320
536	370	319
537	371	318
538	371	317
539	372	317
540	372	316
541	373	315
542	373	314
543	374	313
544	375	313
545	375	312
546	376	311
547	376	310
548	377	310
549	378	309
550	378	308
551	379	307
552	379	307
553	380	306
554	381	305
555	381	304
556	382	303
557	382	303
558	383	302
559	383	301
560	384	300
561	385	300
562	385	299
563	386	298
564	386	297
565	387	296
566	387	296
567	388	295
568	389	294
569	389	294
570	390	293
571	390	292
572	391	291
573	392	291
574	392	290
575	393	289
576	393	288
577	394	287
578	394	287
579	395	286
580	396	285
581	396	284
582	397	284
583	397	283
584	398	282
585	398	281
586	399	280
587	399	280
588	400	279
589	400	278
590	401	277
591	401	276
592	402	276
593	402	275
594	403	274
595	404	273
596	404	273
597	405	272
598	405	271
599	406	270
600	406	270
601	407	269
602	408	268
603	408	267
604	409	267
605	409	266
606	410	265
607	411	265
608	411	264
609	412	263
610	412	262
611	413	261
612	413	261
613	414	260
614	414	259
615	415	258
616	415	258
617	416	257
618	416	256
619	417	255
620	417	255
621	418	254
622	418	253
623	419	252
624	420	252
625	420	251
626	421	250
627	421	249
628	422	249
629	422	248
630	423	247
631	424	246
632	424	246
633	425	245
634	425	244
635	426	243
636	426	243
637	427	242
638	428	241
639	428	241
640	429	240
641	429	239
642	430	238
643	431	238
644	431	237
645	432	236
646	432	236
647	433	235
648	434	234
649	434	234
650	435	233
651	435	232
652	436	231
653	437	231
654	437	230
655	438	229
656	438	229
657	439	228
658	439	227
659	440	226
660	440	226
661	441	225
662	442	224
663	442	223
664	443	223
665	443	222
666	444	221
667	444	220
668	445	220
669	445	219
670	446	218
671	446	218
672	447	217
673	447	216
674	448	215
675	449	215
676	449	214
677	450	213
678	450	213
679	451	212
680	452	211
681	452	211
682	453	210
683	453	209
684	454	209
685	455	208
686	455	207
687	456	206
688	457	206
689	457	205
690	458	204
691	458	204
692	459	203
693	460	202
694	460	202
695	461	201
696	461	200
697	462	200
698	463	199
699	463	198
700	464	198
701	464	197
702	465	196
703	465	195
704	466	195
705	467	194
706	467	193
707	468	193
708	469	192
709	469	191
710	470	191
711	471	190
712	471	189
713	472	189
714	472	188
715	473	187
716	474	187
717	474	186
718	475	185
719	476	185
720	476	184
721	477	183
722	477	183
723	478	182
724	478	181
725	479	181
726	480	180
727	480	179
728	481	178
729	482	178
730	482	177
731	483	176
732	483	176
733	484	175
734	484	174
735	485	174
736	486	173
737	486	172
738	487	172
739	488	171
740	488	170
741	489	170
742	489	169
743	490	168
744	490	168
745	491	167
746	492	166
747	492	166
748	493	165
749	494	164
750	494	164
751	495	163
752	495	162
753	496	161
754	497	161
755	497	160
756	498	159
757	498	159
758	499	158
759	499	157
760	500	157
761	501	156
762	501	155
763	502	155
764	502	154
765	503	153
766	504	153
767	504	152
768	505	151
769	505	151
770	506	150
771	507	149
772	507	149
773	508	148
774	508	147
775	509	147
776	509	146
777	510	145
778	511	144
779	511	144
780	512	143
781	513	143
782	513	142
783	514	141
784	515	141
785	515	140
786	516	139
787	516	139
788	517	138
789	518	137
790	518	137
791	519	136
792	519	135
793	520	135
794	521	134
795	521	133
796	522	133
797	523	132
798	524	131
799	524	131
800	525	130
801	525	129
802	526	129
803	527	128
804	527	127
805	528	127
806	528	126
807	529	125
808	530	125
809	530	124
810	531	123
811	532	123
812	532	122
813	533	121
814	534	121
815	534	120
816	535	119
817	535	119
818	536	118
819	537	117
820	537	117
821	538	116
822	539	115
823	539	115
824	540	114
825	540	113
826	541	113
827	542	112
828	542	111
829	543	111
830	544	110
831	544	110
832	545	109
833	545	108
834	546	108
835	547	107
836	547	106
837	548	106
838	549	105
839	549	104
840	550	104
841	551	103
842	551	102
843	552	102
844	553	101
845	553	100
846	554	100
847	555	99
848	555	98
849	556	98
850	556	97
851	557	96
852	558	96
853	558	95
854	559	94
855	559	94
856	560	93
857	561	92
858	561	92
859	562	91
860	562	90
861	563	90
862	563	89
863	564	88
864	565	88
865	565	87
866	566	86
867	566	86
868	567	85
869	568	84
870	568	84
871	569	83
872	569	82
873	570	82
874	571	81
875	571	80
876	572	80
877	572	79
878	573	78
879	573	78
880	574	77
881	575	76
882	575	76
883	576	75
884	576	74
885	577	74
886	578	73
887	578	72
888	579	72
889	579	71
890	580	70
891	580	70
892	581	69
893	582	69
894	582	68
895	583	67
896	583	67
